Page_ID,Page_name,Disclaimer,Amount_spent(INR),Number_of_ads_in_Library
2.85946E+14,Rani For Tenkasi,blackben,25878,11
4.35315E+14,Pratap Chandra Sarangi,Pratap Chandra Sarangi,25877,88
2.29729E+14,Prof. Prem Singh Chandumajra,Team-Prem Singh Chandumajra,25872,34
1.14266E+14,Jila Express,Jila Express,25870,58
1.20631E+14,Dr. Brijesh S Yadav,Dr. Brijesh S Yadav,25853,4
1.11302E+14,Chevella BJP,Chevella BJP,25850,46
2.78399E+14,Kakatpur Maage Baidhar Mallick,Kakatpur Maage Baidhar Mallick,25837,64
1.01606E+14,Nandyal Public Talk,Nandyal Public Talk,25823,38
3.79785E+14,Doordarshan National (DD1),Doordarshan National (DD1),25808,7
2.94324E+14,Madan Mohan Tiwari,Madan Mohan Tiwari,25789,54
1.37192E+14,देशभक्त भारतीय,देशभक्त भारतीय,25781,90
2.64596E+14,Sahabul Islam Choudhury,All India United Democratic Front - AIUDF,25778,27
2.825E+14,Simulia Maage Padmalochan Panda,Dainika Barta,25770,75
1.00591E+14,Praveen raj singh,Praveen raj singh,25738,162
2.17951E+15,Jagannath Sarkar,Jagannath Sarkar,25661,221
1.07232E+14,Telugu Desam Party: Vinukonda,Telugu Desam Party,25642,15
1.07875E+14,Ravi Nayyar,Ravi Nayyar,25634,45
1.06513E+14,Inder Yadav,Inder Yadav,25611,19
3.28818E+14,Business And Employment,Ramana Machines,25603,6
2.98774E+14,Jashipur Maguchi Ganesh Ram Singh Khuntia,odiatazakhabar,25578,69
2.59177E+14,जनतेतला माणूस प्रतापराव चिखलीकर,maharashtra bulletin,25563,16
1.12303E+15,Dr. Kamineni Srinivas,Twinfinity Media,25558,6
1.07481E+14,Telugu Desam Party: Tiruvuru,Telugu Desam Party,25557,17
1.01484E+14,Gurugram ki Janta,Gurugram ki Janta,25537,60
1.0928E+14,Aapal Maval - आपलं मावळ,Aapal Maval - आपलं मावळ,25529,16
2.74148E+14,Rashmitai Barve FC,Baba Digital Ads,25505,25
1.1767E+15,Devinder Jaggi,Devinder Jaggi,25503,284
1.1889E+14,निष्ठावंत खासदार - संजय जाधव,निष्ठावंत खासदार - संजय जाधव,25469,20
3.62242E+14,GlobalVartha.com,GlobalVartha.com,25452,41
2.91748E+14,Namo4AnN,Namo4AnN,25401,73
1.01612E+14,Tirthankar Ghosh-পুচি,Tirthankar Ghosh-পুচি,25378,28
1.01071E+14,Adikarta Maken Tanwar,Adikarta Maken Tanwar,25358,5
2.0655E+14,Raju Bista ::The People's Voice of Bengal,Raju Bista ::The People's Voice of Bengal,25336,12
7.66553E+14,Dr. Asha Khedar,Dr.Asha khedar,25323,35
1.08123E+14,Dhanpal Suryanarayana - Modi Ka Parivar,Dhanpal Suryanarayana - Modi Ka Parivar,25314,94
1.09357E+14,Tejinder Singh Randhawa,These ads ran without a disclaimer,25280,2
2.20318E+15,Rohtak Ka Pappu,Rohtak Ka Pappu,25275,156
1.27971E+15,Debi Prasad Mishra,Debi Prasad Mishra,25273,38
8.08248E+14,Neel rao,Neel rao,25256,160
1.0046E+14,Jagmohan Singh Raju,Jagmohan Singh Raju,25247,244
1.0373E+14,Pawan Bhai Gupta,Pawan Bhai Gupta,25245,5
3.1357E+14,Voice Of Warangal,Telugu Truth,25240,29
5.40389E+14,Lalit Nagar,Lalit Nagar,25238,2
1.1256E+14,Bharatiya Janata Yuva Morcha-BJYM.Manipur Pradesh,Bharatiya Janata Yuva Morcha-BJYM.Manipur Pradesh,25230,11
1.0708E+14,"Bikram Panda, MLA ବ୍ରହ୍ମପୁର","Bikram Panda, MLA ବ୍ରହ୍ମପୁର",25171,25
1.30601E+14,Runn TV,Runn TV,25167,2
1.73615E+14,Ramdas Tadas,Ramdas Tadas,25144,38
3.21017E+14,Lucknow Ke Rajnath,9Whole,25120,5
3.08231E+14,Aul Maguchi Krushna Chandra Panda,odiatazakhabar,25102,65
2.32092E+15,बदळ्यो बदळ्यो राजस्थान,बदळ्यो बदळ्यो राजस्थान,25036,15
3.38378E+14,Prakhar Bagora Online,Garima Vidya Vihar,25031,3
2.15722E+14,BJP For Sivagangai,BJP For Sivagangai,25017,35
1.65185E+15,జేజమ్మ సైన్యం,జేజమ్మ సైన్యం,25015,8
2.95487E+14,Remuna Maage Gobinda Chandra Das,odiatazakhabar,25005,67
1.76971E+14,Chandu Devineni,Chandu Devineni,24995,2
2.83694E+14,Buldhana Janhitarth - बुलढाणा जनहितार्थ,Crowd Communications,24983,18
1.61993E+15,Silpa Chakrapani Reddy,Silpa Chakrapani Reddy,24976,93
1.4444E+15,Idris Multani - इद्रिस मुलतानी,Idris Multani - इद्रिस मुलतानी,24966,12
1.62276E+14,Manoj Tiwari 'Mridul',Digitix Media,24941,42
1.09776E+14,AAP Ka Deepak Singla,AAP Ka Deepak Singla,24929,97
1.79478E+14,Vivek Sharma,Vivek Sharma,24928,103
1.42381E+15,Indian National Congress - Kerala,KPCC OFFICE,24907,6
3.36109E+14,Dayananda Sagar University,These ads ran without a disclaimer,24835,1
1.57935E+14,Loisingha Maage Mukesh Mahaling,Dainika Barta,24835,54
1.01888E+14,Sarwan Singh Channy,Sarwan Singh Channy,24830,28
1.221E+17,Rajesh Kumar Dwivedi BSP,Rajesh Kumar Dwivedi BSP,24826,155
2.70389E+14,National Centre for Promotion of Employment for Disabled People (NCPEDP),National Centre for Promotion of Employment for Disabled People (NCPEDP),24792,34
1.02766E+14,Veranda Race TNPSC,These ads ran without a disclaimer,24791,1
7.11314E+14,RAO Narender SINGH,RAO Narender SINGH,24788,11
1.51817E+14,Choudwar-Cuttack Maage Nayan Kishore Mohanty,Choudwar-Cuttack Maage Nayan Kishore Mohanty,24776,44
2.9206E+14,Mushtaq Shaikh Fan Club,EESWEB,24760,47
1.99761E+14,Dr Saravanan Fans,Dr Saravanan Fans,24760,25
